"location_id","location","lng","lat","centreline_type","centreline_id","mean_cars","above_avg_cars"
5486,"EASTERN AVE AT LOGAN AVE (PX 818)",-79.3413970026849,43.6578780006218,2,13465362,10837,1
5490,"GERRARD ST E AT JONES AVE (PX 370)",-79.3356080037498,43.669249998649,2,13463478,9656,1
5491,"SHEPPARD AVE E AT FAIRVIEW MALL DR (PX 746)",-79.3411689963173,43.7762139969734,2,13446468,22365,1
5492,"SHEPPARD AVE E AT HWY 404 N & YORKLAND RD (PX 747)",-79.3377519995262,43.7758320037535,2,13446509,22768,1
5493,"MIDLAND AVE AT SHEPPARD AVE E",-79.2785700882727,43.7853480511347,2,13445219,20186.5,1
5495,"DORIS AVE AT SHEPPARD AVE E",-79.4082643038483,43.7621017936671,2,13448605,17190,1
5502,"EVANS AVE AT KIPLING AVE (PX 765)",-79.5246280022224,43.6158729990512,2,13470006,20640,1
5503,"KIPLING AVE AT NORTH QUEEN ST (PX 724)",-79.5285519977352,43.6252069969846,2,13469594,18296,1
5504,"DIXON RD AT KIPLING AVE (PX 435)",-79.5586490059244,43.6942490044885,2,13459576,19629.5,1
5506,"FINCH AVE W AT KIPLING AVE (PX 1570)",-79.5821159958991,43.7432630020136,2,13451819,13326.5,1
5507,"KIPLING AVE AT STEELES AVE W",-79.5898847678205,43.7595972080092,2,13449294,16562,1
5508,"EASTERN AVE AT LESLIE ST (PX 302)",-79.3294760029645,43.6615449997834,2,13464758,11109,1
5511,"LESLIE ST AT CUMMER AVE & MCNICOLL AVE",-79.3707219179402,43.8013034919845,2,13443403,12710.5,1
5513,"FAIRVIEW MALL DR AT HIGHWAY 404 & DVP S/B RAMP (PX 1515)",-79.3415979956866,43.7787080033522,2,13446145,12646,1
5515,"AU LARGE BLVD AT DON MILLS RD",-79.3551972873206,43.7964391033146,2,13443957,9030,1
5516,"DON MILLS RD AT GATEWAY BLVD S & OVERLEA BLVD",-79.3343949847785,43.7099964553998,2,13456414,23839,1
5517,"DON MILLS RD AT MOATFIELD DR",-79.3471541713182,43.7586212513862,2,13448975,14110.5,1
5519,"DON MILLS RD AT THE DONWAY S",-79.3421156171595,43.7322442881024,2,13453034,15510,1
5520,"DON MILLS RD AT THE DONWAY N",-79.3444575331059,43.7408435594891,2,13451688,16177.4,1
5527,"EVANS AVE AT ISLINGTON AVE (PX 775)",-79.5113279944798,43.6183930020764,2,13469914,9248,1
5534,"FINCH AVE E AT SKYMARK DR",-79.3522895338089,43.7931617517311,2,13444344,14217.5,1
5540,"FINCH AVE E AT TAPSCOTT RD",-79.237137059989,43.8142178022924,2,13442174,13300,1
5543,"FINCH AVE E AT BRAHMS AVE & LINUS RD",-79.3580748102644,43.7919621649671,2,13444508,13414.25,1
5544,"BRIDLETOWNE CIR W AT FINCH AVE E",-79.3193128422642,43.7958514663466,2,13443970,16550,1
5547,"FINCH AVE AT HIGHWAY 27 (PX 1163)",-79.6030869960416,43.7341690007891,2,13453246,9383.5,1
5549,"ARROW RD & SIGNET DR AT FINCH AVE W (PX 810)",-79.5362629997396,43.7532900034714,2,13450142,16781.5,1
5555,"FINCH AVE W AT GRANTBROOK ST",-79.4317223948465,43.7761888481295,2,13446625,12213,1
5557,"EVANS AVE AT ROYAL YORK RD",-79.5003969301289,43.6210122527702,2,13469783,9901,1
5558,"LA ROSE AVE AT ROYAL YORK RD (PX 1439)",-79.5274130057507,43.684153995698,2,13461359,10251.5,1
5559,"PARK LAWN RD AT PARK LAWN GARDINER W RAMP (PX 1055)",-79.4877539985203,43.6271049982524,2,13469460,14298,1
5563,"HIGHWAY 404 S AT STEELES AVE E",-79.3551189612586,43.8124839711865,2,14228218,24842,1
5564,"STEELES AVE E AT ASHCOTT ST & FENTON RD",-79.2917431545967,43.8272415768292,2,13441706,13135.6666666667,1
5565,"STEELES AVE E AT HILLCROFT DR & STRAWBERRY HILLS DR",-79.2804015289569,43.8298427386339,2,13441658,13336.3333333333,1
5566,"STEELES AVE E AT ESNA PARK DR & PHARMACY AVE",-79.3364653609247,43.8168587559035,2,13442123,26297.5,1
5567,"STEELES AVE E AT FIREBRACE RD & IBM ACCESS RD",-79.3320996208507,43.8178819078953,2,13442071,21482,1
5568,"BIRCHMOUNT RD AT STEELES AVE E",-79.3169115120963,43.8214068251895,2,13441903,22345.5,1
5570,"STEELES AVE E AT KELVIN GROVE AVE & PUTNAM GATE",-79.3122221692792,43.8224978354364,2,13441856,17230.5,1
5571,"EDGAR WOODS RD AT STEELES AVE E",-79.3627875113135,43.8107280843709,2,13442557,16674,1
5572,"STEELES AVE E AT TOWNSEND RD",-79.3575556725031,43.8119179303512,2,13442457,20783.6666666667,1
5573,"STEELES AVE E AT WOODBINE AVE",-79.3485557932883,43.8139697808004,2,13442279,42933.5,1
5577,"STEELES AVE W AT BLACK HAWKWAY & NEW WESTMINSTER DR",-79.457587473909,43.7898646977139,2,13444956,16717.5,1
5578,"STEELES AVE W AT CONLEY ST & HIDDEN TRL",-79.4631955129541,43.7886739089242,2,13445128,17245.5,1
5579,"STEELES AVE W AT PETROLIA RD & TANDEM RD",-79.4901029644657,43.782572136733,2,13445906,16064.5,1
5580,"STEELES AVE W AT THURMAN RD & TORRESDALE AVE",-79.4530298330688,43.7908649764531,2,13444817,16325,1
5581,"STEELES AVE E AT WILLOWDALE AVE",-79.414460444548,43.7992627629681,2,13443721,16971.5,1
5582,"STEELES AVE W AT BARMAC DR & SCHOLES RD",-79.5549881135823,43.7685669032639,2,13448007,15019,1
5583,"DON RDWY AT LAKE SHORE BLVD (PX 208)",-79.3469619945682,43.6508930018463,2,13466497,10069.5,1
5584,"LAKE SHORE BLVD AT LOGAN AVE",-79.3396684778161,43.6540134517618,2,13466003,25462,1
5586,"BLANTYRE AVE AT KINGSTON RD",-79.2813476854686,43.6814624244391,2,13461219,11149,1
5589,"DIXON AVE AT DUNDAS ST E & KINGSTON RD",-79.3111821687613,43.6699741706634,2,13463293,9140,1
5590,"EGLINTON AVE E AT KINGSTON RD",-79.2116632667346,43.743722153208,2,13450880,20096,1
5591,"CROMWELL RD AT GUILDWOOD PKWY & KINGSTON RD",-79.2059570858171,43.7496569165854,2,13449983,19038,1
5599,"QUEENS PLATE DR E AT REXDALE BLVD",-79.5926152652059,43.716531462092,2,13455913,13901.5,1
5600,"DANFORTH RD AT GORDONRIDGE PL & WOLFE AVE (PX 988)",-79.2526300050357,43.7273889988092,2,13453572,9471.66666666667,1
5601,"DANFORTH RD AT EGLINTON AVE E",-79.2461640653853,43.7370972916531,2,13452053,17585.125,1
5605,"DANFORTH RD AT WARDEN AVE (PX 418)",-79.2748349975566,43.6971769995776,2,13458308,10667,1
5606,"SHERWOOD AVE AT WARDEN AVE (PX 1657)",-79.293480003696,43.7422409993512,2,13451351,11056,1
5608,"THE EAST MALL AT THE QUEENSWAY (PX 911)",-79.546287004236,43.6164190042903,2,13469998,23547,1
5612,"CHURCH ST AT JANE ST & MAPLE LEAF DR (PX 530)",-79.5055659982582,43.7092449972599,2,13456926,18786,1
5614,"ANNETTE ST AT DUNDAS ST W & DUPONT ST & OLD WESTON RD",-79.4587775868743,43.6644860359374,2,13464592,12883.75,1
